@relation 2016_New_Coder_Survey.arff-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N1-R42-DSparse1

@attribute K1 numeric
@attribute Gender numeric

@data
3.464102,1
0,1
1.732051,1
0,1
1.732051,1
0,1
3.464102,0
1.732051,1
0,1
1.732051,1
1.732051,0
0,1
3.464102,1
0,0
1.732051,1
0,1
1.732051,1
1.732051,1
0,1
0,1
0,0
1.732051,1
1.732051,1
1.732051,1
3.464102,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,1
1.732051,1
0,1
3.464102,1
1.732051,1
0,1
0,1
0,0
1.732051,1
0,0
0,1
1.732051,0
0,1
1.732051,1
1.732051,1
0,1
1.732051,1
0,1
1.732051,1
0,0
1.732051,1
1.732051,1
1.732051,1
0,1
0,1
0,0
1.732051,1
0,1
1.732051,0
0,0
1.732051,1
0,0
1.732051,1
1.732051,0
0,1
1.732051,0
0,1
1.732051,1
3.464102,1
0,1
1.732051,1
3.464102,0
1.732051,1
0,1
0,1
0,1
1.732051,1
1.732051,0
1.732051,1
1.732051,1
0,1
3.464102,1
1.732051,0
1.732051,0
0,1
0,1
0,1
0,1
1.732051,0
0,1
1.732051,0
0,1
1.732051,1
1.732051,1
1.732051,0
1.732051,1
1.732051,1
0,1
1.732051,0
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,1
0,0
1.732051,1
0,0
1.732051,0
1.732051,1
0,1
1.732051,0
1.732051,0
3.464102,1
0,1
3.464102,1
1.732051,1
0,1
0,1
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,1
1.732051,1
0,1
1.732051,1
0,1
1.732051,1
0,1
0,0
0,1
1.732051,1
0,1
1.732051,0
1.732051,0
1.732051,1
1.732051,1
1.732051,0
0,0
1.732051,1
3.464102,1
0,1
0,1
1.732051,1
0,0
1.732051,1
1.732051,1
1.732051,1
0,1
0,0
0,1
1.732051,1
1.732051,1
0,1
1.732051,1
1.732051,1
0,1
0,0
0,1
0,1
1.732051,1
0,1
1.732051,1
1.732051,1
0,1
0,1
3.464102,1
1.732051,1
0,0
1.732051,0
1.732051,1
1.732051,1
0,1
1.732051,1
0,1
1.732051,1
1.732051,0
0,0
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,0
0,1
1.732051,1
0,1
0,1
0,1
1.732051,1
0,1
1.732051,1
0,1
0,1
0,1
1.732051,1
0,1
0,1
1.732051,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,0
1.732051,1
0,0
3.464102,1
0,1
1.732051,1
0,1
1.732051,1
3.464102,1
1.732051,1
1.732051,0
0,0
1.732051,1
1.732051,0
1.732051,1
1.732051,0
1.732051,1
0,1
3.464102,0
0,1
0,1
0,1
0,1
0,1
0,0
0,1
3.464102,1
3.464102,1
1.732051,1
1.732051,1
0,1
0,1
0,0
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,1
0,1
0,1
0,1
1.732051,1
1.732051,1
0,0
0,1
1.732051,1
3.464102,0
0,1
0,1
0,1
1.732051,1
0,0
3.464102,1
0,1
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,0
0,1
1.732051,1
1.732051,0
0,1
0,0
3.464102,1
3.464102,1
0,1
1.732051,1
0,0
1.732051,1
0,0
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,1
1.732051,0
1.732051,1
3.464102,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
3.464102,0
3.464102,1
3.464102,1
1.732051,1
1.732051,0
0,1
1.732051,1
0,1
1.732051,1
0,1
0,0
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,1
0,0
1.732051,1
0,1
0,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,1
0,1
0,1
0,1
1.732051,1
0,1
1.732051,1
1.732051,1
3.464102,1
0,0
0,1
0,1
0,0
1.732051,0
0,0
1.732051,1
1.732051,1
3.464102,1
1.732051,1
3.464102,1
1.732051,1
1.732051,1
1.732051,1
3.464102,1
1.732051,1
0,0
1.732051,1
0,1
1.732051,1
1.732051,1
0,1
0,1
1.732051,1
0,1
0,0
0,1
0,1
0,1
3.464102,0
1.732051,0
1.732051,1
0,1
1.732051,1
0,1
0,0
0,0
1.732051,1
1.732051,1
0,1
0,1
1.732051,1
1.732051,1
0,1
1.732051,1
0,0
0,1
0,1
0,1
0,1
3.464102,1
0,1
0,1
0,1
1.732051,0
1.732051,1
1.732051,0
1.732051,0
3.464102,1
0,1
0,1
1.732051,1
1.732051,1
1.732051,0
0,1
0,1
0,1
0,0
0,1
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,0
1.732051,1
1.732051,0
3.464102,0
1.732051,0
0,0
0,1
0,1
1.732051,1
1.732051,1
0,1
1.732051,0
1.732051,1
1.732051,1
1.732051,1
3.464102,1
1.732051,1
1.732051,1
1.732051,0
0,1
0,1
1.732051,1
1.732051,1
0,0
0,1
0,1
0,1
0,1
0,1
1.732051,1
0,1
1.732051,0
0,1
0,1
1.732051,1
0,1
0,1
1.732051,0
0,0
0,1
0,1
0,1
0,1
1.732051,0
1.732051,1
3.464102,1
1.732051,0
1.732051,1
3.464102,0
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,0
0,1
0,1
1.732051,0
0,1
1.732051,1
1.732051,1
0,1
0,1
1.732051,1
0,1
0,1
0,1
0,1
1.732051,1
0,1
3.464102,1
0,1
1.732051,1
0,1
0,1
0,1
0,1
0,1
1.732051,0
0,1
1.732051,0
0,1
0,1
0,1
1.732051,1
0,1
1.732051,1
3.464102,1
0,1
1.732051,1
1.732051,0
0,1
0,1
1.732051,1
1.732051,0
1.732051,1
0,0
1.732051,1
1.732051,0
1.732051,1
1.732051,1
3.464102,1
0,1
0,0
0,0
0,1
3.464102,1
0,1
0,1
1.732051,0
1.732051,1
0,1
3.464102,1
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,1
0,0
1.732051,1
0,1
1.732051,1
0,0
1.732051,1
1.732051,0
0,1
1.732051,1
0,1
0,0
3.464102,1
0,1
0,0
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,1
0,1
0,1
1.732051,0
0,1
1.732051,0
0,1
0,1
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,1
0,0
0,1
0,1
3.464102,1
0,0
1.732051,1
0,1
3.464102,0
0,1
0,0
1.732051,1
1.732051,1
1.732051,1
0,0
0,1
0,1
0,1
0,1
1.732051,1
1.732051,1
1.732051,1
0,0
0,0
0,1
1.732051,1
1.732051,1
3.464102,1
0,1
1.732051,1
0,1
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,0
0,1
1.732051,1
0,0
3.464102,1
1.732051,1
1.732051,1
0,1
1.732051,1
0,0
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,1
1.732051,0
1.732051,1
1.732051,1
1.732051,1
1.732051,0
1.732051,1
0,0
1.732051,1
1.732051,1
1.732051,1
1.732051,0
0,1
1.732051,1
0,1
1.732051,0
1.732051,1
1.732051,1
0,1
1.732051,1
1.732051,0
1.732051,1
0,1
0,1
3.464102,1
0,1
1.732051,1
0,0
0,1
1.732051,1
0,1
0,1
1.732051,1
1.732051,1
0,0
1.732051,0
0,1
0,1
1.732051,0
1.732051,0
1.732051,1
0,1
0,1
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,0
1.732051,1
1.732051,1
3.464102,1
1.732051,0
0,1
0,1
0,1
0,1
1.732051,0
1.732051,1
1.732051,1
0,0
0,1
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,0
1.732051,1
1.732051,0
1.732051,1
0,0
1.732051,1
1.732051,1
1.732051,1
1.732051,0
0,0
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,1
0,1
1.732051,1
0,1
1.732051,1
1.732051,1
0,0
1.732051,0
0,1
0,1
0,1
0,0
0,1
3.464102,1
0,1
3.464102,1
3.464102,1
1.732051,1
1.732051,1
0,1
1.732051,1
1.732051,0
0,1
0,1
0,1
1.732051,1
3.464102,0
0,1
0,1
3.464102,1
1.732051,1
3.464102,1
3.464102,1
0,1
1.732051,0
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,0
0,1
0,1
0,1
0,1
0,1
1.732051,0
1.732051,1
0,1
1.732051,1
0,1
0,1
1.732051,0
1.732051,0
0,1
0,1
0,1
3.464102,1
1.732051,1
0,1
1.732051,1
1.732051,1
0,0
0,1
0,0
0,0
0,1
0,1
0,0
0,0
0,1
0,0
1.732051,1
1.732051,1
0,1
0,1
1.732051,0
0,1
0,1
0,1
1.732051,0
1.732051,1
0,1
1.732051,0
1.732051,0
1.732051,1
3.464102,1
1.732051,1
1.732051,1
3.464102,1
0,0
0,0
0,1
1.732051,1
1.732051,0
0,0
0,1
0,0
0,1
1.732051,1
1.732051,1
0,0
1.732051,0
1.732051,1
1.732051,1
1.732051,1
1.732051,0
0,1
1.732051,1
0,0
1.732051,1
0,1
0,0
3.464102,1
1.732051,1
1.732051,1
1.732051,1
0,1
0,1
0,1
0,1
1.732051,0
1.732051,0
0,1
1.732051,0
1.732051,1
0,1
0,1
1.732051,1
1.732051,1
0,0
1.732051,0
0,1
1.732051,0
1.732051,0
0,1
3.464102,1
1.732051,1
1.732051,1
0,1
0,1
0,0
0,1
3.464102,1
3.464102,1
1.732051,1
0,0
1.732051,1
0,1
1.732051,1
0,1
3.464102,1
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,0
0,1
0,1
1.732051,1
0,1
0,1
1.732051,0
1.732051,1
1.732051,0
1.732051,1
1.732051,0
1.732051,1
0,1
1.732051,1
0,0
3.464102,1
0,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,1
0,1
1.732051,1
0,1
0,1
1.732051,0
0,1
0,0
1.732051,0
0,0
1.732051,1
0,1
0,1
1.732051,1
1.732051,1
3.464102,1
0,1
1.732051,1
0,1
0,0
1.732051,1
0,1
1.732051,1
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
3.464102,1
0,0
1.732051,0
0,1
0,1
0,1
1.732051,1
0,1
0,1
1.732051,1
1.732051,0
0,1
1.732051,1
1.732051,1
0,1
1.732051,1
0,1
0,1
0,1
1.732051,1
3.464102,1
0,0
1.732051,1
0,1
0,1
1.732051,1
0,1
1.732051,0
0,1
0,1
1.732051,1
0,1
1.732051,0
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,0
0,1
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,1
1.732051,0
1.732051,0
0,1
0,1
1.732051,0
1.732051,1
1.732051,1
3.464102,1
1.732051,1
0,1
1.732051,1
0,1
1.732051,1
0,0
1.732051,1
0,1
0,1
0,1
1.732051,1
0,1
3.464102,1
1.732051,1
1.732051,1
1.732051,0
0,1
1.732051,1
0,1
1.732051,1
1.732051,1
0,0
1.732051,1
1.732051,1
0,0
1.732051,0
1.732051,1
1.732051,1
0,1
0,1
1.732051,0
1.732051,1
1.732051,1
3.464102,0
0,0
3.464102,1
1.732051,1
1.732051,1
0,1
1.732051,0
0,0
1.732051,1
0,1
1.732051,1
1.732051,1
0,1
1.732051,1
3.464102,1
1.732051,0
0,0
1.732051,1
1.732051,1
3.464102,1
0,0
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,1
1.732051,1
0,1
1.732051,1
1.732051,1
0,1
1.732051,1
0,1
0,1
0,1
0,1
1.732051,1
0,1
3.464102,1
1.732051,1
0,1
1.732051,1
0,1
0,1
3.464102,1
0,1
1.732051,1
1.732051,1
0,0
0,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,0
1.732051,0
0,1
0,1
1.732051,1
3.464102,1
0,1
1.732051,1
1.732051,1
0,1
0,1
1.732051,1
0,1
0,1
3.464102,1
0,1
0,1
3.464102,0
0,0
0,1
1.732051,1
1.732051,1
3.464102,1
1.732051,0
0,0
0,0
1.732051,1
1.732051,1
1.732051,1
0,1
0,1
1.732051,0
0,0
1.732051,1
1.732051,1
0,0
0,1
0,1
0,0
1.732051,1
0,0
1.732051,1
0,1
1.732051,1
1.732051,0
0,1
0,0
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,1
0,1
1.732051,1
1.732051,1
3.464102,1
1.732051,1
1.732051,1
0,1
0,1
0,1
1.732051,1
1.732051,1
0,1
0,0
1.732051,1
1.732051,1
0,1
1.732051,0
0,1
0,1
1.732051,0
1.732051,1
1.732051,0
0,0
0,1
3.464102,1
1.732051,1
1.732051,1
0,0
0,0
1.732051,1
0,1
1.732051,0
3.464102,1
1.732051,1
0,1
1.732051,0
1.732051,1
1.732051,1
0,1
3.464102,0
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,0
1.732051,1
0,0
0,1
1.732051,1
3.464102,1
0,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,1
0,1
1.732051,1
0,1
0,1
1.732051,1
0,1
0,1
0,0
1.732051,1
1.732051,1
0,0
3.464102,1
3.464102,1
0,1
1.732051,0
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
3.464102,0
0,1
1.732051,0
1.732051,1
0,1
0,1
1.732051,1
1.732051,1
1.732051,0
1.732051,1
0,1
0,1
0,1
3.464102,1
0,1
0,1
0,1
1.732051,1
3.464102,1
1.732051,1
1.732051,1
0,0
0,1
1.732051,1
1.732051,1
0,1
0,1
1.732051,1
0,1
3.464102,1
3.464102,1
0,1
3.464102,0
0,1
0,0
1.732051,1
1.732051,0
1.732051,1
0,1
0,1
1.732051,1
1.732051,0
1.732051,0
0,1
0,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,1
0,1
1.732051,1
0,1
0,1
0,1
0,1
0,1
3.464102,1
1.732051,1
1.732051,1
1.732051,0
0,1
0,1
0,1
1.732051,0
0,1
0,0
0,0
1.732051,1
1.732051,1
0,1
3.464102,0
1.732051,1
0,1
0,1
0,1
0,1
1.732051,1
0,1
0,1
0,1
0,1
0,1
1.732051,0
1.732051,1
3.464102,1
0,1
0,1
0,1
0,1
1.732051,1
0,0
0,1
1.732051,0
0,1
1.732051,1
0,1
0,1
0,0
1.732051,0
3.464102,1
0,1
0,0
1.732051,1
1.732051,1
1.732051,1
3.464102,1
0,1
0,0
1.732051,1
0,1
0,1
1.732051,0
0,1
1.732051,0
0,0
1.732051,1
1.732051,1
0,1
0,1
1.732051,1
1.732051,1
0,1
0,1
0,1
0,1
0,1
1.732051,1
0,1
1.732051,1
0,1
0,1
1.732051,0
0,1
0,1
1.732051,1
0,0
0,1
1.732051,1
0,1
0,1
1.732051,1
3.464102,1
3.464102,1
0,0
1.732051,1
0,1
0,1
1.732051,1
1.732051,0
1.732051,1
0,1
1.732051,0
3.464102,1
1.732051,1
0,0
1.732051,0
0,0
1.732051,1
0,0
1.732051,0
0,1
0,1
0,1
0,1
0,1
3.464102,1
0,0
0,1
0,1
1.732051,1
1.732051,0
0,1
0,1
1.732051,1
3.464102,1
1.732051,1
1.732051,1
1.732051,0
0,1
1.732051,1
0,1
1.732051,1
0,1
0,1
0,0
0,1
1.732051,1
0,1
1.732051,1
0,1
1.732051,1
0,1
0,1
1.732051,1
1.732051,1
0,1
1.732051,1
1.732051,1
0,1
0,1
1.732051,1
0,1
3.464102,1
3.464102,1
0,1
0,1
1.732051,1
0,0
1.732051,1
0,0
3.464102,1
1.732051,1
1.732051,1
0,1
0,1
0,1
0,0
0,1
0,1
0,0
0,1
1.732051,1
0,1
1.732051,0
0,1
3.464102,0
0,0
3.464102,1
1.732051,1
1.732051,1
3.464102,1
1.732051,1
1.732051,1
0,1
1.732051,1
0,1
1.732051,1
0,1
0,0
0,1
0,1
1.732051,0
0,1
0,0
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,0
0,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,1
0,1
0,1
1.732051,0
1.732051,1
1.732051,0
1.732051,1
0,0
1.732051,1
0,1
0,1
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,1
1.732051,0
1.732051,1
0,1
0,1
0,0
1.732051,1
1.732051,1
1.732051,1
1.732051,1
3.464102,1
0,0
0,1
1.732051,0
0,0
1.732051,1
1.732051,1
0,1
1.732051,1
0,1
3.464102,1
1.732051,1
0,1
0,1
0,1
1.732051,0
0,1
1.732051,1
1.732051,1
0,1
0,1
1.732051,1
0,1
0,1
0,1
1.732051,1
0,1
1.732051,1
3.464102,1
1.732051,1
0,0
0,1
3.464102,1
0,1
0,1
1.732051,1
0,0
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,1
0,1
1.732051,0
1.732051,1
1.732051,1
1.732051,0
0,1
0,1
1.732051,1
1.732051,1
0,0
1.732051,1
0,1
1.732051,0
0,1
3.464102,0
0,1
1.732051,1
1.732051,1
0,1
1.732051,0
0,1
0,1
0,1
0,1
1.732051,0
1.732051,1
1.732051,0
0,1
0,0
0,0
1.732051,0
0,1
1.732051,1
0,1
0,1
1.732051,1
0,1
0,1
1.732051,1
0,1
3.464102,1
0,1
1.732051,1
0,1
1.732051,1
1.732051,1
0,1
1.732051,1
3.464102,1
1.732051,1
0,0
1.732051,1
1.732051,1
1.732051,1
0,1
0,1
0,1
0,1
1.732051,1
1.732051,1
0,1
1.732051,1
0,1
1.732051,1
0,1
0,0
1.732051,1
1.732051,1
1.732051,1
1.732051,1
3.464102,0
1.732051,1
1.732051,0
1.732051,1
0,0
0,1
1.732051,0
1.732051,1
1.732051,1
1.732051,1
0,0
0,1
1.732051,0
1.732051,1
1.732051,0
0,0
0,1
0,1
1.732051,0
1.732051,0
0,0
1.732051,1
0,1
0,1
1.732051,1
0,1
1.732051,1
1.732051,1
0,0
0,1
0,1
0,1
0,1
1.732051,0
1.732051,1
0,1
0,0
0,1
0,1
0,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,0
1.732051,1
0,0
0,1
1.732051,1
0,1
0,1
0,0
1.732051,1
0,0
0,1
3.464102,1
0,1
1.732051,0
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,0
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,0
0,1
1.732051,1
0,1
1.732051,1
0,1
0,1
1.732051,0
0,1
1.732051,0
0,0
0,1
1.732051,1
0,1
1.732051,1
1.732051,1
0,1
1.732051,1
0,1
0,1
0,1
1.732051,1
0,1
0,1
3.464102,1
1.732051,1
1.732051,0
0,1
1.732051,1
1.732051,0
1.732051,1
1.732051,0
3.464102,1
0,0
1.732051,1
0,1
0,1
1.732051,1
0,1
0,0
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,0
1.732051,1
0,1
1.732051,1
1.732051,1
0,1
1.732051,1
0,1
0,1
1.732051,0
1.732051,0
1.732051,1
3.464102,0
0,0
0,1
3.464102,0
0,0
0,1
0,1
0,0
3.464102,0
1.732051,1
0,1
0,1
0,1
1.732051,1
0,1
1.732051,1
0,0
3.464102,1
0,1
3.464102,1
1.732051,1
0,0
1.732051,0
0,1
1.732051,1
1.732051,1
3.464102,1
0,1
0,1
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,1
0,1
1.732051,0
3.464102,1
1.732051,0
0,0
1.732051,1
3.464102,1
1.732051,0
1.732051,0
0,1
1.732051,1
1.732051,1
0,1
0,1
0,1
0,1
0,1
0,0
3.464102,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,1
0,0
0,1
0,1
1.732051,1
1.732051,1
0,0
0,0
1.732051,1
0,1
1.732051,0
3.464102,1
1.732051,1
0,1
1.732051,0
0,1
1.732051,1
1.732051,1
0,1
0,0
3.464102,1
0,1
0,1
0,1
1.732051,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1.732051,1
1.732051,1
3.464102,1
1.732051,1
0,0
3.464102,1
0,0
1.732051,1
0,1
0,0
0,1
3.464102,1
0,1
0,1
3.464102,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,0
1.732051,1
0,1
0,1
1.732051,1
1.732051,1
0,1
0,1
1.732051,1
0,1
1.732051,1
1.732051,1
0,1
3.464102,1
1.732051,1
1.732051,0
1.732051,0
1.732051,1
0,1
3.464102,1
3.464102,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
3.464102,1
0,1
0,1
0,1
1.732051,1
0,1
0,0
1.732051,1
1.732051,1
1.732051,1
0,1
0,1
1.732051,0
1.732051,1
1.732051,1
3.464102,1
1.732051,0
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,1
1.732051,1
0,1
1.732051,1
0,1
0,1
1.732051,1
3.464102,0
0,1
1.732051,1
0,0
0,1
1.732051,1
0,0
1.732051,1
3.464102,1
1.732051,1
1.732051,0
0,1
3.464102,0
1.732051,1
0,1
0,1
0,1
1.732051,1
1.732051,0
1.732051,1
1.732051,1
3.464102,1
0,1
0,1
0,0
1.732051,1
0,0
1.732051,1
0,0
0,0
1.732051,1
0,1
1.732051,1
1.732051,1
3.464102,1
0,1
3.464102,1
0,0
1.732051,0
0,0
1.732051,1
1.732051,1
0,1
1.732051,1
0,1
1.732051,1
1.732051,0
1.732051,1
1.732051,0
0,1
0,1
3.464102,1
1.732051,1
0,1
1.732051,1
0,1
1.732051,1
1.732051,0
0,1
0,0
1.732051,1
0,1
1.732051,0
0,1
0,0
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,1
0,1
1.732051,1
0,1
0,1
0,1
3.464102,0
0,1
0,0
1.732051,1
0,1
1.732051,1
0,1
3.464102,1
0,1
0,0
1.732051,1
0,1
0,0
0,1
0,0
1.732051,1
0,1
1.732051,1
0,1
0,1
0,1
1.732051,1
1.732051,1
1.732051,1
0,1
0,1
1.732051,1
3.464102,0
1.732051,1
0,1
3.464102,1
0,1
1.732051,0
3.464102,1
0,1
1.732051,1
0,1
0,1
0,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,1
1.732051,1
0,0
0,1
1.732051,1
1.732051,1
0,1
1.732051,1
0,1
0,1
0,0
1.732051,0
1.732051,0
0,1
1.732051,1
0,0
0,0
0,1
0,0
0,0
1.732051,1
1.732051,1
1.732051,1
0,1
0,1
0,1
0,1
0,1
0,0
0,0
0,1
1.732051,0
1.732051,1
1.732051,0
0,1
1.732051,1
0,1
0,1
1.732051,1
1.732051,0
0,1
3.464102,1
0,1
1.732051,1
1.732051,1
1.732051,1
0,1
3.464102,1
1.732051,1
0,1
0,1
0,1
0,1
0,1
0,0
0,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,1
0,1
1.732051,1
1.732051,1
1.732051,0
1.732051,1
1.732051,1
1.732051,0
1.732051,0
1.732051,1
0,1
1.732051,1
0,1
0,1
1.732051,1
0,1
0,1
3.464102,1
3.464102,0
0,0
1.732051,1
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,1
0,1
0,1
1.732051,0
1.732051,0
0,1
0,1
3.464102,1
1.732051,1
1.732051,1
0,1
3.464102,0
0,0
0,1
0,0
3.464102,1
0,1
0,1
3.464102,1
3.464102,1
0,1
1.732051,1
0,0
3.464102,1
0,1
0,1
1.732051,1
0,1
0,1
1.732051,1
1.732051,1
0,0
0,1
1.732051,0
0,0
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
1.732051,0
0,1
0,1
0,0
1.732051,1
1.732051,1
0,0
0,1
1.732051,1
1.732051,1
1.732051,1
1.732051,1
3.464102,1
3.464102,0
0,1
0,1
0,1
0,1
1.732051,1
1.732051,1
0,1
1.732051,0
1.732051,0
0,0
1.732051,1
1.732051,1
1.732051,1
0,1
0,0
0,1
0,1
1.732051,1
0,1
0,1
0,1
1.732051,1
0,1
0,1
1.732051,0
3.464102,1
0,1
1.732051,1
3.464102,1
0,1
0,1
1.732051,0
0,0
0,1
0,1
0,1
1.732051,1
1.732051,0
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,1
0,1
0,1
1.732051,1
3.464102,1
1.732051,0
1.732051,0
0,1
0,1
0,1
0,1
1.732051,1
3.464102,1
3.464102,1
0,1
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,1
1.732051,1
1.732051,0
0,0
1.732051,1
1.732051,1
1.732051,1
0,0
0,0
1.732051,1
1.732051,1
0,0
0,1
1.732051,1
1.732051,0
1.732051,1
1.732051,1
3.464102,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1.732051,1
0,1
0,1
0,0
1.732051,1
1.732051,1
3.464102,1
0,0
0,1
1.732051,1
1.732051,1
0,1
1.732051,1
0,1
3.464102,1
1.732051,0
0,1
3.464102,0
0,1
0,1
0,1
1.732051,1
0,1
0,0
0,1
1.732051,1
1.732051,1
1.732051,1
0,1
1.732051,1
0,1
0,1
0,1
1.732051,1
0,1
3.464102,1
1.732051,1
0,1
0,1
